No. moves  % accept.        E_tot           E_sr
     1140    48.6063        -7026.838       -7026.838
     1142    48.6086        -7050.321       -7050.321
     1144    48.6108        -7068.344       -7068.344
     1146    48.6126        -7048.502       -7048.502
     1148    48.6132        -7047.335       -7047.335
     1150    48.6154        -7046.878       -7046.878
     1152    48.6177        -7028.298       -7028.298
     1154    48.6207        -7009.975       -7009.975
     1156    48.6231        -7041.792       -7041.792
     1158    48.6253        -7075.028       -7075.028
     1160    48.6269        -7078.687       -7078.687
     1162    48.6288        -7085.768       -7085.768
     1164    48.6313        -7082.671       -7082.671
     1166    48.6323        -7081.456       -7081.456
     1168    48.6339        -7038.641       -7038.641
     1170    48.6350        -7056.504       -7056.504
     1172    48.6388        -7075.263       -7075.263
     1174    48.6434        -7049.728       -7049.728
     1176    48.6454        -7024.601       -7024.601
     1178    48.6465        -7023.942       -7023.942
     1180    48.6483        -7029.817       -7029.817
     1182    48.6495        -7058.833       -7058.833
     1184    48.6515        -7044.396       -7044.396
     1186    48.6532        -7053.779       -7053.779
     1188    48.6541        -7037.204       -7037.204
     1190    48.6552        -7035.646       -7035.646
     1192    48.6578        -7016.951       -7016.951
     1194    48.6596        -6993.955       -6993.955
     1196    48.6612        -6994.943       -6994.943
     1198    48.6620        -6997.897       -6997.897
     1200    48.6645        -7011.122       -7011.122
     1202    48.6658        -7012.070       -7012.070
     1204    48.6692        -6982.430       -6982.430
     1206    48.6715        -6999.309       -6999.309
     1208    48.6733        -6989.543       -6989.543
     1210    48.6768        -6984.784       -6984.784
     1212    48.6795        -7000.256       -7000.256
     1214    48.6816        -6978.252       -6978.252
     1216    48.6832        -6976.736       -6976.736
     1218    48.6844        -6954.512       -6954.512
     1220    48.6868        -6939.464       -6939.464
     1222    48.6892        -6942.209       -6942.209
     1224    48.6919        -6931.130       -6931.130
     1226    48.6935        -6957.062       -6957.062
     1228    48.6951        -6949.471       -6949.471
     1230    48.6976        -6965.535       -6965.535
     1232    48.6991        -6988.078       -6988.078
     1234    48.7022        -6986.243       -6986.243
     1236    48.7053        -6963.886       -6963.886
     1238    48.7082        -6945.458       -6945.458
     1240    48.7085        -6964.125       -6964.125
     1242    48.7081        -6973.198       -6973.198
     1244    48.7105        -6984.532       -6984.532
     1246    48.7119        -6991.456       -6991.456
     1248    48.7122        -7007.146       -7007.146
     1250    48.7120        -7003.754       -7003.754
     1252    48.7147        -7052.456       -7052.456
     1254    48.7161        -7041.989       -7041.989
     1256    48.7180        -7034.060       -7034.060
     1258    48.7199        -7020.111       -7020.111
     1260    48.7233        -7025.832       -7025.832
     1262    48.7258        -7010.769       -7010.769
     1264    48.7272        -6999.221       -6999.221
     1266    48.7298        -7011.083       -7011.083
     1268    48.7319        -7029.735       -7029.735
     1270    48.7337        -7035.421       -7035.421
     1272    48.7348        -7017.694       -7017.694
     1274    48.7360        -7013.920       -7013.920
     1276    48.7374        -7003.531       -7003.531
     1278    48.7400        -7002.789       -7002.789
     1280    48.7432        -7022.759       -7022.759
     1282    48.7440        -7000.309       -7000.309
     1284    48.7460        -7023.135       -7023.135
     1286    48.7466        -6996.382       -6996.382
     1288    48.7486        -7000.765       -7000.765
     1290    48.7502        -7029.701       -7029.701
     1292    48.7509        -7027.527       -7027.527
     1294    48.7511        -7024.604       -7024.604
     1296    48.7526        -7041.274       -7041.274
     1298    48.7545        -7049.953       -7049.953
     1300    48.7558        -7040.782       -7040.782
     1302    48.7572        -7016.356       -7016.356
     1304    48.7596        -7031.260       -7031.260
     1306    48.7604        -7019.336       -7019.336
     1308    48.7616        -7059.659       -7059.659
     1310    48.7648        -7032.345       -7032.345
     1312    48.7671        -7031.093       -7031.093
     1314    48.7700        -7038.353       -7038.353
     1316    48.7713        -7024.922       -7024.922
     1318    48.7724        -7007.781       -7007.781
     1320    48.7748        -7001.850       -7001.850
     1322    48.7753        -7006.927       -7006.927
     1324    48.7778        -7028.606       -7028.606
     1326    48.7790        -6999.001       -6999.001
     1328    48.7814        -7017.474       -7017.474
     1330    48.7823        -7028.956       -7028.956
     1332    48.7847        -7006.211       -7006.211
     1334    48.7859        -7005.766       -7005.766
     1336    48.7885        -6990.937       -6990.937
