No. moves  % accept.       <E_tot>         <E_sr>
     11090    49.6780        -7014.404       -7014.404
     11092    49.6781        -7014.414       -7014.414
     11094    49.6782        -7014.482       -7014.482
     11096    49.6782        -7014.558       -7014.558
     11098    49.6780        -7014.678       -7014.678
     11100    49.6779        -7014.784       -7014.784
     11102    49.6780        -7014.861       -7014.861
     11104    49.6781        -7014.945       -7014.945
     11106    49.6782        -7015.038       -7015.038
     11108    49.6783        -7015.114       -7015.114
     11110    49.6782        -7015.258       -7015.258
     11112    49.6781        -7015.352       -7015.352
     11114    49.6781        -7015.449       -7015.449
     11116    49.6781        -7015.547       -7015.547
     11118    49.6782        -7015.677       -7015.677
     11120    49.6782        -7015.705       -7015.705
     11122    49.6783        -7015.722       -7015.722
     11124    49.6782        -7015.759       -7015.759
     11126    49.6782        -7015.813       -7015.813
     11128    49.6783        -7015.867       -7015.867
     11130    49.6780        -7015.916       -7015.916
     11132    49.6781        -7015.985       -7015.985
     11134    49.6781        -7016.044       -7016.044
     11136    49.6781        -7016.073       -7016.073
     11138    49.6782        -7016.074       -7016.074
     11140    49.6782        -7016.064       -7016.064
     11142    49.6780        -7016.096       -7016.096
     11144    49.6779        -7016.169       -7016.169
     11146    49.6779        -7016.234       -7016.234
     11148    49.6778        -7016.292       -7016.292
     11150    49.6779        -7016.389       -7016.389
     11152    49.6778        -7016.460       -7016.460
     11154    49.6778        -7016.553       -7016.553
     11156    49.6778        -7016.657       -7016.657
     11158    49.6778        -7016.713       -7016.713
     11160    49.6779        -7016.805       -7016.805
     11162    49.6779        -7016.879       -7016.879
     11164    49.6779        -7016.936       -7016.936
     11166    49.6778        -7017.002       -7017.002
     11168    49.6778        -7017.090       -7017.090
     11170    49.6778        -7017.164       -7017.164
     11172    49.6779        -7017.258       -7017.258
     11174    49.6780        -7017.316       -7017.316
     11176    49.6781        -7017.309       -7017.309
     11178    49.6781        -7017.393       -7017.393
     11180    49.6781        -7017.474       -7017.474
     11182    49.6782        -7017.457       -7017.457
     11184    49.6783        -7017.481       -7017.481
     11186    49.6783        -7017.495       -7017.495
     11188    49.6783        -7017.561       -7017.561
     11190    49.6783        -7017.601       -7017.601
     11192    49.6785        -7017.631       -7017.631
     11194    49.6785        -7017.619       -7017.619
     11196    49.6784        -7017.562       -7017.562
     11198    49.6785        -7017.515       -7017.515
     11200    49.6786        -7017.493       -7017.493
     11202    49.6789        -7017.498       -7017.498
     11204    49.6789        -7017.471       -7017.471
     11206    49.6790        -7017.415       -7017.415
     11208    49.6790        -7017.410       -7017.410
     11210    49.6790        -7017.378       -7017.378
     11212    49.6790        -7017.337       -7017.337
     11214    49.6792        -7017.338       -7017.338
     11216    49.6793        -7017.292       -7017.292
     11218    49.6795        -7017.202       -7017.202
     11220    49.6797        -7017.181       -7017.181
     11222    49.6796        -7017.139       -7017.139
     11224    49.6798        -7017.101       -7017.101
     11226    49.6797        -7017.059       -7017.059
     11228    49.6799        -7017.028       -7017.028
     11230    49.6799        -7017.060       -7017.060
     11232    49.6799        -7017.068       -7017.068
     11234    49.6800        -7017.062       -7017.062
     11236    49.6802        -7017.070       -7017.070
     11238    49.6803        -7017.080       -7017.080
     11240    49.6805        -7017.113       -7017.113
     11242    49.6804        -7017.134       -7017.134
     11244    49.6804        -7017.216       -7017.216
     11246    49.6806        -7017.248       -7017.248
     11248    49.6807        -7017.267       -7017.267
     11250    49.6807        -7017.324       -7017.324
     11252    49.6807        -7017.358       -7017.358
     11254    49.6809        -7017.378       -7017.378
     11256    49.6808        -7017.374       -7017.374
     11258    49.6809        -7017.379       -7017.379
     11260    49.6809        -7017.424       -7017.424
     11262    49.6810        -7017.439       -7017.439
     11264    49.6811        -7017.443       -7017.443
     11266    49.6812        -7017.435       -7017.435
     11268    49.6811        -7017.404       -7017.404
     11270    49.6812        -7017.338       -7017.338
     11272    49.6813        -7017.290       -7017.290
     11274    49.6814        -7017.224       -7017.224
     11276    49.6815        -7017.134       -7017.134
     11278    49.6816        -7017.108       -7017.108
     11280    49.6818        -7017.075       -7017.075
     11282    49.6819        -7017.055       -7017.055
     11284    49.6821        -7017.025       -7017.025
     11286    49.6820        -7016.989       -7016.989
     11288    49.6822        -7016.944       -7016.944
     11290    49.6822        -7016.904       -7016.904
     11292    49.6823        -7016.820       -7016.820
     11294    49.6825        -7016.709       -7016.709
     11296    49.6826        -7016.636       -7016.636
     11298    49.6825        -7016.577       -7016.577
     11300    49.6825        -7016.513       -7016.513
     11302    49.6826        -7016.547       -7016.547
     11304    49.6826        -7016.562       -7016.562
     11306    49.6828        -7016.575       -7016.575
     11308    49.6828        -7016.596       -7016.596
     11310    49.6829        -7016.635       -7016.635
     11312    49.6830        -7016.604       -7016.604
     11314    49.6831        -7016.546       -7016.546
     11316    49.6832        -7016.531       -7016.531
     11318    49.6834        -7016.501       -7016.501
     11320    49.6833        -7016.500       -7016.500
     11322    49.6833        -7016.513       -7016.513
