No. moves  % accept.       <E_tot>         <E_sr>
     10712    49.6947        -7015.661       -7015.661
     10714    49.6948        -7015.878       -7015.878
     10716    49.6946        -7016.028       -7016.028
     10718    49.6945        -7016.160       -7016.160
     10720    49.6947        -7016.366       -7016.366
     10722    49.6948        -7016.519       -7016.519
     10724    49.6947        -7016.636       -7016.636
     10726    49.6945        -7016.792       -7016.792
     10728    49.6945        -7016.863       -7016.863
     10730    49.6946        -7016.957       -7016.957
     10732    49.6945        -7017.141       -7017.141
     10734    49.6947        -7017.398       -7017.398
     10736    49.6947        -7017.639       -7017.639
     10738    49.6946        -7017.903       -7017.903
     10740    49.6944        -7018.079       -7018.079
     10742    49.6946        -7018.257       -7018.257
     10744    49.6945        -7018.404       -7018.404
     10746    49.6943        -7018.545       -7018.545
     10748    49.6941        -7018.660       -7018.660
     10750    49.6940        -7018.756       -7018.756
     10752    49.6939        -7018.813       -7018.813
     10754    49.6936        -7018.914       -7018.914
     10756    49.6935        -7019.009       -7019.009
     10758    49.6933        -7019.126       -7019.126
     10760    49.6931        -7019.197       -7019.197
     10762    49.6930        -7019.303       -7019.303
     10764    49.6929        -7019.418       -7019.418
     10766    49.6928        -7019.576       -7019.576
     10768    49.6928        -7019.755       -7019.755
     10770    49.6928        -7019.932       -7019.932
     10772    49.6928        -7020.068       -7020.068
     10774    49.6928        -7020.182       -7020.182
     10776    49.6926        -7020.305       -7020.305
     10778    49.6924        -7020.408       -7020.408
     10780    49.6925        -7020.599       -7020.599
     10782    49.6925        -7020.694       -7020.694
     10784    49.6924        -7020.813       -7020.813
     10786    49.6923        -7020.924       -7020.924
     10788    49.6920        -7021.036       -7021.036
     10790    49.6918        -7021.126       -7021.126
     10792    49.6917        -7021.224       -7021.224
     10794    49.6918        -7021.337       -7021.337
     10796    49.6917        -7021.433       -7021.433
     10798    49.6919        -7021.521       -7021.521
     10800    49.6918        -7021.573       -7021.573
     10802    49.6919        -7021.654       -7021.654
     10804    49.6920        -7021.765       -7021.765
     10806    49.6920        -7021.833       -7021.833
     10808    49.6921        -7021.845       -7021.845
     10810    49.6922        -7021.882       -7021.882
     10812    49.6921        -7021.814       -7021.814
     10814    49.6923        -7021.820       -7021.820
     10816    49.6925        -7021.840       -7021.840
     10818    49.6923        -7021.873       -7021.873
     10820    49.6924        -7021.916       -7021.916
     10822    49.6924        -7021.931       -7021.931
     10824    49.6925        -7021.994       -7021.994
     10826    49.6926        -7021.997       -7021.997
     10828    49.6926        -7022.002       -7022.002
     10830    49.6929        -7021.923       -7021.923
     10832    49.6931        -7021.853       -7021.853
     10834    49.6932        -7021.833       -7021.833
     10836    49.6932        -7021.847       -7021.847
     10838    49.6932        -7021.815       -7021.815
     10840    49.6931        -7021.775       -7021.775
     10842    49.6930        -7021.733       -7021.733
     10844    49.6931        -7021.686       -7021.686
     10846    49.6931        -7021.542       -7021.542
     10848    49.6932        -7021.418       -7021.418
     10850    49.6932        -7021.313       -7021.313
     10852    49.6933        -7021.247       -7021.247
     10854    49.6934        -7021.172       -7021.172
     10856    49.6936        -7021.081       -7021.081
     10858    49.6936        -7021.072       -7021.072
     10860    49.6937        -7021.046       -7021.046
     10862    49.6937        -7021.030       -7021.030
     10864    49.6937        -7020.965       -7020.965
     10866    49.6939        -7020.882       -7020.882
     10868    49.6941        -7020.808       -7020.808
     10870    49.6944        -7020.691       -7020.691
     10872    49.6944        -7020.605       -7020.605
     10874    49.6943        -7020.506       -7020.506
     10876    49.6943        -7020.367       -7020.367
     10878    49.6942        -7020.190       -7020.190
     10880    49.6943        -7020.031       -7020.031
     10882    49.6947        -7019.874       -7019.874
     10884    49.6946        -7019.729       -7019.729
     10886    49.6947        -7019.647       -7019.647
     10888    49.6947        -7019.514       -7019.514
     10890    49.6949        -7019.414       -7019.414
     10892    49.6949        -7019.258       -7019.258
     10894    49.6948        -7019.166       -7019.166
     10896    49.6949        -7019.098       -7019.098
     10898    49.6948        -7019.051       -7019.051
     10900    49.6948        -7018.984       -7018.984
     10902    49.6949        -7018.932       -7018.932
     10904    49.6950        -7018.835       -7018.835
     10906    49.6950        -7018.710       -7018.710
     10908    49.6950        -7018.592       -7018.592
     10910    49.6951        -7018.475       -7018.475
     10912    49.6950        -7018.359       -7018.359
     10914    49.6951        -7018.250       -7018.250
     10916    49.6952        -7018.159       -7018.159
     10918    49.6953        -7018.068       -7018.068
     10920    49.6953        -7017.964       -7017.964
     10922    49.6954        -7017.808       -7017.808
     10924    49.6954        -7017.650       -7017.650
     10926    49.6955        -7017.489       -7017.489
     10928    49.6956        -7017.397       -7017.397
     10930    49.6956        -7017.348       -7017.348
     10932    49.6957        -7017.280       -7017.280
     10934    49.6957        -7017.181       -7017.181
     10936    49.6957        -7017.106       -7017.106
     10938    49.6957        -7017.010       -7017.010
     10940    49.6957        -7016.948       -7016.948
     10942    49.6957        -7016.877       -7016.877
     10944    49.6954        -7016.773       -7016.773
     10946    49.6954        -7016.690       -7016.690
     10948    49.6954        -7016.586       -7016.586
     10950    49.6954        -7016.498       -7016.498
     10952    49.6955        -7016.385       -7016.385
     10954    49.6954        -7016.352       -7016.352
     10956    49.6955        -7016.313       -7016.313
     10958    49.6957        -7016.298       -7016.298
     10960    49.6958        -7016.274       -7016.274
     10962    49.6957        -7016.193       -7016.193
     10964    49.6958        -7016.135       -7016.135
     10966    49.6958        -7016.087       -7016.087
     10968    49.6957        -7016.042       -7016.042
     10970    49.6956        -7016.036       -7016.036
     10972    49.6956        -7016.011       -7016.011
     10974    49.6958        -7015.986       -7015.986
     10976    49.6957        -7015.988       -7015.988
     10978    49.6959        -7015.987       -7015.987
     10980    49.6960        -7015.994       -7015.994
     10982    49.6960        -7016.006       -7016.006
     10984    49.6960        -7015.995       -7015.995
     10986    49.6959        -7016.009       -7016.009
     10988    49.6960        -7016.042       -7016.042
     10990    49.6960        -7016.110       -7016.110
     10992    49.6961        -7016.168       -7016.168
     10994    49.6960        -7016.155       -7016.155
     10996    49.6962        -7016.114       -7016.114
     10998    49.6963        -7016.069       -7016.069
     11000    49.6965        -7016.049       -7016.049
     11002    49.6964        -7016.028       -7016.028
     11004    49.6963        -7016.016       -7016.016
     11006    49.6965        -7015.994       -7015.994
     11008    49.6966        -7015.969       -7015.969
     11010    49.6968        -7015.918       -7015.918
     11012    49.6967        -7015.938       -7015.938
     11014    49.6968        -7015.933       -7015.933
     11016    49.6967        -7015.952       -7015.952
     11018    49.6967        -7015.953       -7015.953
     11020    49.6967        -7015.916       -7015.916
     11022    49.6969        -7015.973       -7015.973
     11024    49.6969        -7016.022       -7016.022
     11026    49.6969        -7016.031       -7016.031
