No. moves  % accept.        E_tot           E_sr
     958    48.4848        -6999.813       -6999.813
     960    48.4890        -7006.946       -7006.946
     962    48.4932        -7012.608       -7012.608
     964    48.4943        -6998.906       -6998.906
     966    48.4960        -7011.531       -7011.531
     968    48.5007        -7002.834       -7002.834
     970    48.5031        -7004.928       -7004.928
     972    48.5051        -7005.033       -7005.033
     974    48.5066        -6992.679       -6992.679
     976    48.5077        -7007.066       -7007.066
     978    48.5101        -6997.012       -6997.012
     980    48.5121        -6981.246       -6981.246
     982    48.5120        -7000.756       -7000.756
     984    48.5152        -7004.631       -7004.631
     986    48.5171        -6984.107       -6984.107
     988    48.5209        -6987.713       -6987.713
     990    48.5243        -6970.554       -6970.554
     992    48.5285        -6969.682       -6969.682
     994    48.5313        -6988.333       -6988.333
     996    48.5348        -6955.426       -6955.426
     998    48.5373        -6981.983       -6981.983
     1000    48.5411        -7005.340       -7005.340
     1002    48.5436        -6978.013       -6978.013
     1004    48.5470        -6991.139       -6991.139
     1006    48.5482        -7015.739       -7015.739
     1008    48.5495        -7029.905       -7029.905
     1010    48.5496        -7046.398       -7046.398
     1012    48.5508        -7044.189       -7044.189
     1014    48.5524        -7064.115       -7064.115
     1016    48.5532        -7048.099       -7048.099
     1018    48.5560        -7026.422       -7026.422
     1020    48.5578        -7023.178       -7023.178
     1022    48.5610        -7033.127       -7033.127
     1024    48.5633        -7001.243       -7001.243
     1026    48.5639        -6995.581       -6995.581
     1028    48.5656        -6989.977       -6989.977
     1030    48.5670        -7001.436       -7001.436
     1032    48.5702        -7021.606       -7021.606
     1034    48.5725        -7015.584       -7015.584
     1036    48.5750        -7000.080       -7000.080
     1038    48.5770        -7034.280       -7034.280
     1040    48.5786        -7008.487       -7008.487
     1042    48.5818        -7043.930       -7043.930
     1044    48.5849        -7008.668       -7008.668
     1046    48.5862        -7017.430       -7017.430
     1048    48.5909        -7024.661       -7024.661
     1050    48.5907        -7019.903       -7019.903
     1052    48.5938        -7005.154       -7005.154
     1054    48.5983        -7022.013       -7022.013
     1056    48.6017        -7006.939       -7006.939
     1058    48.6057        -6994.325       -6994.325
     1060    48.6086        -6998.877       -6998.877
     1062    48.6110        -7014.656       -7014.656
     1064    48.6130        -7003.044       -7003.044
     1066    48.6152        -7035.550       -7035.550
     1068    48.6176        -7052.710       -7052.710
     1070    48.6203        -7051.918       -7051.918
     1072    48.6225        -7027.729       -7027.729
     1074    48.6241        -7038.403       -7038.403
     1076    48.6261        -7049.001       -7049.001
     1078    48.6267        -7009.490       -7009.490
     1080    48.6289        -7022.933       -7022.933
     1082    48.6309        -7021.758       -7021.758
     1084    48.6340        -7016.548       -7016.548
     1086    48.6373        -7021.043       -7021.043
     1088    48.6388        -6987.897       -6987.897
     1090    48.6429        -6978.929       -6978.929
     1092    48.6462        -6979.496       -6979.496
     1094    48.6506        -7037.708       -7037.708
     1096    48.6532        -7000.230       -7000.230
     1098    48.6570        -6978.907       -6978.907
     1100    48.6591        -7008.323       -7008.323
     1102    48.6627        -7017.304       -7017.304
     1104    48.6659        -7013.010       -7013.010
     1106    48.6699        -7025.710       -7025.710
     1108    48.6739        -7022.571       -7022.571
     1110    48.6752        -7033.889       -7033.889
     1112    48.6776        -7033.492       -7033.492
     1114    48.6810        -7026.742       -7026.742
     1116    48.6843        -7030.014       -7030.014
     1118    48.6851        -7033.805       -7033.805
     1120    48.6889        -7015.787       -7015.787
     1122    48.6902        -7008.837       -7008.837
     1124    48.6927        -7025.154       -7025.154
     1126    48.6944        -7032.088       -7032.088
     1128    48.6960        -7019.624       -7019.624
     1130    48.6992        -7059.428       -7059.428
     1132    48.7001        -7052.156       -7052.156
     1134    48.7014        -7040.923       -7040.923
     1136    48.7042        -7017.273       -7017.273
     1138    48.7044        -7033.880       -7033.880
     1140    48.7061        -7011.673       -7011.673
     1142    48.7076        -7000.337       -7000.337
     1144    48.7084        -6993.366       -6993.366
     1146    48.7115        -6982.871       -6982.871
     1148    48.7147        -6988.814       -6988.814
     1150    48.7167        -6982.274       -6982.274
     1152    48.7183        -6989.130       -6989.130
