No. moves  % accept.   % accept. vol.   <E_tot>      <E_sr>    <Vol>      <Lx>     <Ly>    <Lz>
     10388    85.5275    55.2946    -359.100       -359.100      464638679.87      774.46406      774.46406      774.46406
     10390    85.5297    55.3032    -359.044       -359.044      464752039.67      774.52642      774.52642      774.52642
     10392    85.5318    55.3022    -358.995       -358.995      464864957.91      774.58852      774.58852      774.58852
     10394    85.5339    55.3011    -358.941       -358.941      464978368.29      774.65088      774.65088      774.65088
     10396    85.5360    55.3097    -358.933       -358.933      465096055.62      774.71552      774.71552      774.71552
     10398    85.5381    55.3183    -358.949       -358.949      465215237.30      774.78095      774.78095      774.78095
     10400    85.5402    55.3173    -358.944       -358.944      465333138.36      774.84568      774.84568      774.84568
     10402    85.5424    55.3163    -358.904       -358.904      465451524.00      774.91066      774.91066      774.91066
     10404    85.5445    55.3153    -358.903       -358.903      465569494.71      774.97540      774.97540      774.97540
     10406    85.5466    55.3046    -358.891       -358.891      465686303.16      775.03950      775.03950      775.03950
     10408    85.5487    55.3036    -358.888       -358.888      465802011.05      775.10300      775.10300      775.10300
     10410    85.5508    55.3026    -358.870       -358.870      465918451.52      775.16687      775.16687      775.16687
     10412    85.5529    55.3112    -358.847       -358.847      466037424.22      775.23209      775.23209      775.23209
     10414    85.5551    55.3102    -358.850       -358.850      466156076.71      775.29713      775.29713      775.29713
     10416    85.5571    55.3091    -358.874       -358.874      466274056.93      775.36179      775.36179      775.36179
     10418    85.5592    55.3081    -358.893       -358.893      466391924.84      775.42638      775.42638      775.42638
     10420    85.5612    55.2975    -358.901       -358.901      466508670.19      775.49035      775.49035      775.49035
     10422    85.5633    55.2869    -358.910       -358.910      466624308.96      775.55371      775.55371      775.55371
     10424    85.5654    55.2763    -358.920       -358.920      466738856.80      775.61648      775.61648      775.61648
     10426    85.5675    55.2753    -358.925       -358.925      466852438.46      775.67872      775.67872      775.67872
     10428    85.5695    55.2647    -358.955       -358.955      466964958.61      775.74037      775.74037      775.74037
     10430    85.5716    55.2637    -358.971       -358.971      467076649.77      775.80157      775.80157      775.80157
     10432    85.5737    55.2627    -358.937       -358.937      467187546.15      775.86233      775.86233      775.86233
     10434    85.5758    55.2616    -358.931       -358.931      467297042.03      775.92233      775.92233      775.92233
     10436    85.5779    55.2702    -358.917       -358.917      467407877.17      775.98303      775.98303      775.98303
     10438    85.5800    55.2788    -358.913       -358.913      467518233.86      776.04346      776.04346      776.04346
     10440    85.5821    55.2682    -358.872       -358.872      467627587.30      776.10335      776.10335      776.10335
     10442    85.5843    55.2768    -358.831       -358.831      467738759.78      776.16419      776.16419      776.16419
     10444    85.5863    55.2758    -358.830       -358.830      467849535.32      776.22481      776.22481      776.22481
     10446    85.5884    55.2843    -358.820       -358.820      467960199.55      776.28536      776.28536      776.28536
     10448    85.5906    55.2929    -358.799       -358.799      468070976.89      776.34595      776.34595      776.34595
     10450    85.5926    55.2823    -358.784       -358.784      468180769.55      776.40601      776.40601      776.40601
     10452    85.5947    55.2813    -358.753       -358.753      468289847.27      776.46567      776.46567      776.46567
     10454    85.5969    55.2803    -358.692       -358.692      468398604.28      776.52515      776.52515      776.52515
     10456    85.5990    55.2888    -358.687       -358.687      468506458.46      776.58413      776.58413      776.58413
     10458    85.6011    55.2974    -358.678       -358.678      468616886.71      776.64448      776.64448      776.64448
     10460    85.6032    55.2868    -358.657       -358.657      468726354.72      776.70430      776.70430      776.70430
     10462    85.6053    55.2954    -358.644       -358.644      468836993.00      776.76473      776.76473      776.76473
     10464    85.6074    55.2848    -358.637       -358.637      468946677.50      776.82464      776.82464      776.82464
     10466    85.6095    55.2933    -358.636       -358.636      469057105.62      776.88494      776.88494      776.88494
     10468    85.6117    55.3019    -358.646       -358.646      469168668.11      776.94583      776.94583      776.94583
     10470    85.6137    55.3009    -358.635       -358.635      469280935.65      777.00708      777.00708      777.00708
     10472    85.6159    55.2998    -358.625       -358.625      469393983.03      777.06873      777.06873      777.06873
     10474    85.6180    55.2988    -358.592       -358.592      469506757.10      777.13022      777.13022      777.13022
     10476    85.6201    55.2978    -358.587       -358.587      469620569.41      777.19226      777.19226      777.19226
     10478    85.6222    55.2873    -358.596       -358.596      469733429.31      777.25377      777.25377      777.25377
     10480    85.6242    55.2863    -358.615       -358.615      469845810.09      777.31502      777.31502      777.31502
     10482    85.6263    55.2757    -358.590       -358.590      469957258.24      777.37576      777.37576      777.37576
     10484    85.6284    55.2747    -358.554       -358.554      470069533.52      777.43692      777.43692      777.43692
     10486    85.6304    55.2832    -358.542       -358.542      470182525.13      777.49846      777.49846      777.49846
     10488    85.6325    55.2822    -358.524       -358.524      470294724.45      777.55956      777.55956      777.55956
     10490    85.6345    55.2812    -358.518       -358.518      470405946.42      777.62013      777.62013      777.62013
     10492    85.6366    55.2707    -358.517       -358.517      470516264.16      777.68020      777.68020      777.68020
     10494    85.6386    55.2601    -358.488       -358.488      470625688.63      777.73979      777.73979      777.73979
     10496    85.6407    55.2496    -358.465       -358.465      470734230.64      777.79890      777.79890      777.79890
