No. moves  % accept.   % accept. vol.   <E_tot>      <E_sr>    <Vol>      <Lx>     <Ly>    <Lz>
     10304    85.4943    55.9200    -316.028       -316.028      459825237.84      771.79359      771.79359      771.79359
     10306    85.4966    55.9092    -315.969       -315.969      459961315.03      771.86895      771.86895      771.86895
     10308    85.4988    55.9080    -315.910       -315.910      460097898.93      771.94457      771.94457      771.94457
     10310    85.5011    55.9069    -315.787       -315.787      460235919.83      772.02095      772.02095      772.02095
     10312    85.5033    55.9154    -315.660       -315.660      460373467.31      772.09705      772.09705      772.09705
     10314    85.5056    55.9240    -315.553       -315.553      460512110.00      772.17373      772.17373      772.17373
     10316    85.5079    55.9131    -315.483       -315.483      460648997.72      772.24944      772.24944      772.24944
     10318    85.5102    55.9217    -315.402       -315.402      460787943.58      772.32624      772.32624      772.32624
     10320    85.5124    55.9302    -315.289       -315.289      460928929.70      772.40413      772.40413      772.40413
     10322    85.5146    55.9194    -315.201       -315.201      461068164.45      772.48106      772.48106      772.48106
     10324    85.5168    55.9279    -315.124       -315.124      461208121.53      772.55835      772.55835      772.55835
     10326    85.5190    55.9365    -315.023       -315.023      461349009.41      772.63612      772.63612      772.63612
     10328    85.5213    55.9353    -314.949       -314.949      461484940.99      772.71120      772.71120      772.71120
     10330    85.5235    55.9439    -314.854       -314.854      461621562.57      772.78663      772.78663      772.78663
     10332    85.5257    55.9427    -314.793       -314.793      461758012.32      772.86195      772.86195      772.86195
     10334    85.5280    55.9319    -314.739       -314.739      461892827.94      772.93637      772.93637      772.93637
     10336    85.5302    55.9307    -314.665       -314.665      462028446.04      773.01120      773.01120      773.01120
     10338    85.5324    55.9393    -314.578       -314.578      462165953.63      773.08703      773.08703      773.08703
     10340    85.5347    55.9478    -314.465       -314.465      462304728.76      773.16353      773.16353      773.16353
     10342    85.5369    55.9563    -314.366       -314.366      462442991.28      773.23973      773.23973      773.23973
     10344    85.5391    55.9648    -314.279       -314.279      462583505.81      773.31713      773.31713      773.31713
     10346    85.5413    55.9637    -314.208       -314.208      462723317.26      773.39413      773.39413      773.39413
     10348    85.5436    55.9625    -314.118       -314.118      462863282.18      773.47119      773.47119      773.47119
     10350    85.5458    55.9614    -313.984       -313.984      463004152.37      773.54872      773.54872      773.54872
     10352    85.5481    55.9602    -313.894       -313.894      463146536.17      773.62705      773.62705      773.62705
     10354    85.5503    55.9590    -313.773       -313.773      463288662.76      773.70521      773.70521      773.70521
     10356    85.5527    55.9579    -313.669       -313.669      463431548.13      773.78376      773.78376      773.78376
     10358    85.5550    55.9567    -313.540       -313.540      463572668.99      773.86135      773.86135      773.86135
     10360    85.5572    55.9556    -313.423       -313.423      463713334.52      773.93867      773.93867      773.93867
     10362    85.5595    55.9448    -313.300       -313.300      463852445.74      774.01514      774.01514      774.01514
     10364    85.5618    55.9340    -313.186       -313.186      463990028.27      774.09076      774.09076      774.09076
     10366    85.5641    55.9425    -313.064       -313.064      464130827.94      774.16810      774.16810      774.16810
     10368    85.5662    55.9414    -312.927       -312.927      464271572.41      774.24538      774.24538      774.24538
     10370    85.5684    55.9402    -312.803       -312.803      464412325.38      774.32265      774.32265      774.32265
     10372    85.5707    55.9294    -312.652       -312.652      464551564.88      774.39909      774.39909      774.39909
     10374    85.5729    55.9186    -312.521       -312.521      464689315.19      774.47471      774.47471      774.47471
     10376    85.5752    55.9079    -312.423       -312.423      464825600.06      774.54953      774.54953      774.54953
     10378    85.5773    55.9164    -312.323       -312.323      464965908.90      774.62648      774.62648      774.62648
     10380    85.5796    55.9249    -312.196       -312.196      465108391.13      774.70457      774.70457      774.70457
     10382    85.5819    55.9141    -312.061       -312.061      465249381.39      774.78185      774.78185      774.78185
     10384    85.5840    55.9226    -311.977       -311.977      465390183.78      774.85901      774.85901      774.85901
     10386    85.5863    55.9214    -311.899       -311.899      465532010.13      774.93670      774.93670      774.93670
     10388    85.5885    55.9203    -311.848       -311.848      465672428.42      775.01361      775.01361      775.01361
     10390    85.5907    55.9288    -311.817       -311.817      465815412.56      775.09188      775.09188      775.09188
     10392    85.5929    55.9276    -311.779       -311.779      465958029.12      775.16992      775.16992      775.16992
     10394    85.5951    55.9265    -311.703       -311.703      466101220.44      775.24826      775.24826      775.24826
     10396    85.5973    55.9254    -311.631       -311.631      466244216.13      775.32647      775.32647      775.32647
     10398    85.5995    55.9242    -311.596       -311.596      466387218.33      775.40466      775.40466      775.40466
     10400    85.6017    55.9327    -311.539       -311.539      466531197.14      775.48336      775.48336      775.48336
     10402    85.6040    55.9316    -311.455       -311.455      466675187.59      775.56204      775.56204      775.56204
     10404    85.6063    55.9400    -311.356       -311.356      466820159.86      775.64122      775.64122      775.64122
     10406    85.6085    55.9293    -311.233       -311.233      466963703.83      775.71962      775.71962      775.71962
     10408    85.6106    55.9377    -311.122       -311.122      467111246.98      775.80013      775.80013      775.80013
     10410    85.6128    55.9366    -310.993       -310.993      467257685.57      775.88003      775.88003      775.88003
     10412    85.6151    55.9451    -310.867       -310.867      467404221.23      775.95996      775.95996      775.95996
     10414    85.6173    55.9535    -310.762       -310.762      467549937.60      776.03943      776.03943      776.03943
     10416    85.6195    55.9428    -310.661       -310.661      467694252.85      776.11814      776.11814      776.11814
     10418    85.6217    55.9512    -310.589       -310.589      467839644.78      776.19741      776.19741      776.19741
     10420    85.6239    55.9597    -310.498       -310.498      467986587.74      776.27747      776.27747      776.27747
     10422    85.6262    55.9681    -310.382       -310.382      468133208.76      776.35734      776.35734      776.35734
     10424    85.6284    55.9574    -310.252       -310.252      468278446.57      776.43646      776.43646      776.43646
     10426    85.6306    55.9563    -310.155       -310.155      468424933.74      776.51622      776.51622      776.51622
     10428    85.6328    55.9551    -310.057       -310.057      468569907.63      776.59516      776.59516      776.59516
     10430    85.6350    55.9540    -309.966       -309.966      468713992.22      776.67361      776.67361      776.67361
     10432    85.6372    55.9624    -309.857       -309.857      468857274.87      776.75161      776.75161      776.75161
     10434    85.6394    55.9613    -309.750       -309.750      468999956.00      776.82928      776.82928      776.82928
     10436    85.6417    55.9506    -309.667       -309.667      469141328.13      776.90623      776.90623      776.90623
     10438    85.6439    55.9494    -309.571       -309.571      469282059.90      776.98282      776.98282      776.98282
     10440    85.6462    55.9483    -309.489       -309.489      469422923.31      777.05946      777.05946      777.05946
     10442    85.6484    55.9567    -309.421       -309.421      469562522.80      777.13542      777.13542      777.13542
     10444    85.6506    55.9556    -309.353       -309.353      469702725.12      777.21168      777.21168      777.21168
     10446    85.6527    55.9544    -309.288       -309.288      469842235.91      777.28755      777.28755      777.28755
     10448    85.6550    55.9437    -309.222       -309.222      469980501.08      777.36274      777.36274      777.36274
     10450    85.6572    55.9522    -309.137       -309.137      470118391.77      777.43772      777.43772      777.43772
     10452    85.6594    55.9414    -309.056       -309.056      470255062.19      777.51203      777.51203      777.51203
     10454    85.6616    55.9307    -308.965       -308.965      470390528.47      777.58569      777.58569      777.58569
