No. moves  % accept.   % acc. vol.    E_tot          E_sr          Vol       Lx        Ly        Lz
     422    58.7798        54.5024         -4824.761      -4824.761     415602.18  74.62642  74.62642  74.62642
     424    58.7963        54.2453         -4826.858      -4826.858     415602.18  74.62642  74.62642  74.62642
     426    58.8188        54.4601         -4859.057      -4859.057     418796.12  74.81710  74.81710  74.81710
     428    58.8388        54.4393         -4831.163      -4831.163     421579.47  74.98248  74.98248  74.98248
     430    58.8590        54.4186         -4842.540      -4842.540     421525.72  74.97930  74.97930  74.97930
     432    58.8783        54.1667         -4870.410      -4870.410     421525.72  74.97930  74.97930  74.97930
     434    58.8948        54.1475         -4854.290      -4854.290     425878.86  75.23652  75.23652  75.23652
     436    58.9131        53.8991         -4860.586      -4860.586     425878.86  75.23652  75.23652  75.23652
     438    58.9305        53.8813         -4855.816      -4855.816     427575.52  75.33630  75.33630  75.33630
     440    58.9462        53.8636         -4830.936      -4830.936     430144.09  75.48685  75.48685  75.48685
     442    58.9672        54.0724         -4809.062      -4809.062     438346.73  75.96367  75.96367  75.96367
     444    58.9812        53.8288         -4816.213      -4816.213     438346.73  75.96367  75.96367  75.96367
     446    58.9996        53.8117         -4824.182      -4824.182     439983.41  76.05809  76.05809  76.05809
     448    59.0135        53.5714         -4842.056      -4842.056     439983.41  76.05809  76.05809  76.05809
     450    59.0270        53.5556         -4845.445      -4845.445     442249.16  76.18843  76.18843  76.18843
     452    59.0433        53.5398         -4848.491      -4848.491     443119.32  76.23836  76.23836  76.23836
     454    59.0598        53.5242         -4834.887      -4834.887     445104.24  76.35203  76.35203  76.35203
     456    59.0744        53.5088         -4795.337      -4795.337     449416.14  76.59779  76.59779  76.59779
     458    59.0922        53.4934         -4795.110      -4795.110     452148.96  76.75273  76.75273  76.75273
     460    59.1035        53.4783         -4808.664      -4808.664     454769.42  76.90072  76.90072  76.90072
     462    59.1202        53.4632         -4766.116      -4766.116     457682.12  77.06455  77.06455  77.06455
     464    59.1344        53.2328         -4748.288      -4748.288     457682.12  77.06455  77.06455  77.06455
     466    59.1524        53.0043         -4763.435      -4763.435     457682.12  77.06455  77.06455  77.06455
     468    59.1659        52.9915         -4779.684      -4779.684     458147.40  77.09066  77.09066  77.09066
     470    59.1841        52.7660         -4815.347      -4815.347     458147.40  77.09066  77.09066  77.09066
     472    59.1996        52.9661         -4812.083      -4812.083     462874.39  77.35488  77.35488  77.35488
     474    59.2127        52.7426         -4818.885      -4818.885     462874.39  77.35488  77.35488  77.35488
     476    59.2266        52.7311         -4803.495      -4803.495     467683.38  77.62185  77.62185  77.62185
     478    59.2423        52.7197         -4813.351      -4813.351     467121.70  77.59076  77.59076  77.59076
     480    59.2574        52.5000         -4808.661      -4808.661     467121.70  77.59076  77.59076  77.59076
     482    59.2755        52.2822         -4824.308      -4824.308     467121.70  77.59076  77.59076  77.59076
     484    59.2914        52.2727         -4827.343      -4827.343     471446.30  77.82947  77.82947  77.82947
     486    59.3019        52.2634         -4787.716      -4787.716     475805.16  78.06860  78.06860  78.06860
     488    59.3156        52.2541         -4790.483      -4790.483     479131.06  78.25008  78.25008  78.25008
     490    59.3318        52.0408         -4781.519      -4781.519     479131.06  78.25008  78.25008  78.25008
     492    59.3421        52.0325         -4754.415      -4754.415     483294.41  78.47607  78.47607  78.47607
     494    59.3540        52.2267         -4760.313      -4760.313     487917.27  78.72549  78.72549  78.72549
     496    59.3679        52.0161         -4771.145      -4771.145     487917.27  78.72549  78.72549  78.72549
     498    59.3863        52.0080         -4741.000      -4741.000     492249.56  78.95781  78.95781  78.95781
     500    59.4005        51.8000         -4740.776      -4740.776     492249.56  78.95781  78.95781  78.95781
     502    59.4127        51.7928         -4733.186      -4733.186     495258.19  79.11835  79.11835  79.11835
     504    59.4288        51.7857         -4752.534      -4752.534     496142.42  79.16541  79.16541  79.16541
     506    59.4451        51.9763         -4754.887      -4754.887     501474.07  79.44797  79.44797  79.44797
     508    59.4598        51.9685         -4736.738      -4736.738     503179.56  79.53794  79.53794  79.53794
     510    59.4712        52.1569         -4729.663      -4729.663     507183.15  79.74833  79.74833  79.74833
     512    59.4830        51.9531         -4735.277      -4735.277     507183.15  79.74833  79.74833  79.74833
     514    59.4964        51.7510         -4724.999      -4724.999     507183.15  79.74833  79.74833  79.74833
     516    59.5113        51.5504         -4745.633      -4745.633     507183.15  79.74833  79.74833  79.74833
     518    59.5265        51.7375         -4715.437      -4715.437     512664.84  80.03461  80.03461  80.03461
     520    59.5415        51.9231         -4681.849      -4681.849     516369.03  80.22691  80.22691  80.22691
     522    59.5577        51.9157         -4691.503      -4691.503     519325.62  80.37974  80.37974  80.37974
     524    59.5716        51.7176         -4685.626      -4685.626     519325.62  80.37974  80.37974  80.37974
     526    59.5861        51.7110         -4659.375      -4659.375     521323.72  80.48269  80.48269  80.48269
     528    59.6013        51.7045         -4638.907      -4638.907     525781.71  80.71145  80.71145  80.71145
     530    59.6124        51.6981         -4642.533      -4642.533     529987.37  80.92608  80.92608  80.92608
     532    59.6311        51.6917         -4632.048      -4632.048     529407.39  80.89655  80.89655  80.89655
     534    59.6422        51.6854         -4645.203      -4645.203     532095.64  81.03325  81.03325  81.03325
     536    59.6581        51.6791         -4618.378      -4618.378     533336.97  81.09621  81.09621  81.09621
     538    59.6720        51.4870         -4649.002      -4649.002     533336.97  81.09621  81.09621  81.09621
     540    59.6886        51.6667         -4641.467      -4641.467     537116.30  81.28731  81.28731  81.28731
     542    59.6998        51.8450         -4624.872      -4624.872     542766.17  81.57134  81.57134  81.57134
     544    59.7146        51.8382         -4617.745      -4617.745     543102.70  81.58819  81.58819  81.58819
     546    59.7291        51.8315         -4636.534      -4636.534     547261.45  81.79592  81.79592  81.79592
     548    59.7436        52.0073         -4605.775      -4605.775     556733.97  82.26515  82.26515  82.26515
     550    59.7586        52.0000         -4598.318      -4598.318     561074.75  82.47840  82.47840  82.47840
     552    59.7755        52.1739         -4560.669      -4560.669     567720.22  82.80276  82.80276  82.80276
     554    59.7958        52.1661         -4562.833      -4562.833     568559.60  82.84354  82.84354  82.84354
     556    59.8099        52.3381         -4552.700      -4552.700     574342.12  83.12345  83.12345  83.12345
     558    59.8266        52.3297         -4558.564      -4558.564     575220.66  83.16581  83.16581  83.16581
     560    59.8427        52.5000         -4570.670      -4570.670     577642.06  83.28234  83.28234  83.28234
     562    59.8583        52.6690         -4533.050      -4533.050     586175.63  83.69045  83.69045  83.69045
     564    59.8740        52.4823         -4537.407      -4537.407     586175.63  83.69045  83.69045  83.69045
     566    59.8894        52.6502         -4529.100      -4529.100     593225.57  84.02463  84.02463  84.02463
     568    59.9025        52.8169         -4542.673      -4542.673     598843.74  84.28905  84.28905  84.28905
     570    59.9184        52.6316         -4545.054      -4545.054     598843.74  84.28905  84.28905  84.28905
     572    59.9327        52.4476         -4565.049      -4565.049     598843.74  84.28905  84.28905  84.28905
     574    59.9469        52.2648         -4556.814      -4556.814     598843.74  84.28905  84.28905  84.28905
     576    59.9568        52.4306         -4549.088      -4549.088     605260.91  84.58906  84.58906  84.58906
     578    59.9695        52.4221         -4547.264      -4547.264     610869.78  84.84955  84.84955  84.84955
     580    59.9831        52.4138         -4560.506      -4560.506     610839.39  84.84814  84.84814  84.84814
     582    59.9961        52.5773         -4568.041      -4568.041     612743.27  84.93620  84.93620  84.93620
     584    60.0097        52.5685         -4547.658      -4547.658     617866.50  85.17227  85.17227  85.17227
     586    60.0265        52.3891         -4527.091      -4527.091     617866.50  85.17227  85.17227  85.17227
     588    60.0413        52.2109         -4525.069      -4525.069     617866.50  85.17227  85.17227  85.17227
     590    60.0526        52.2034         -4521.520      -4521.520     620155.06  85.27730  85.27730  85.27730
     592    60.0649        52.0270         -4503.804      -4503.804     620155.06  85.27730  85.27730  85.27730
     594    60.0767        52.0202         -4505.406      -4505.406     621092.79  85.32026  85.32026  85.32026
     596    60.0908        51.8456         -4502.632      -4502.632     621092.79  85.32026  85.32026  85.32026
     598    60.1042        51.8395         -4487.658      -4487.658     626537.96  85.56887  85.56887  85.56887
     600    60.1154        51.8333         -4492.828      -4492.828     627205.64  85.59925  85.59925  85.59925
     602    60.1259        51.9934         -4499.248      -4499.248     630580.97  85.75253  85.75253  85.75253
     604    60.1369        51.9868         -4483.519      -4483.519     634680.92  85.93798  85.93798  85.93798
     606    60.1491        52.1452         -4470.447      -4470.447     638738.49  86.12073  86.12073  86.12073
     608    60.1643        51.9737         -4495.121      -4495.121     638738.49  86.12073  86.12073  86.12073
     610    60.1777        51.9672         -4510.985      -4510.985     639436.42  86.15208  86.15208  86.15208
     612    60.1883        51.7974         -4516.101      -4516.101     639436.42  86.15208  86.15208  86.15208
