No. moves  % accept.   % acc. vol.    E_tot          E_sr          Vol       Lx        Ly        Lz
     516    58.4269        47.8682         -4548.488      -4548.488     537918.08  74.00249  73.44941  98.96497
     518    58.4495        48.0695         -4523.236      -4523.236     541099.77  74.14811  73.59394  99.15970
     520    58.4695        48.0769         -4523.750      -4523.750     546809.25  74.40799  73.85188  99.50725
     522    58.4923        48.0843         -4524.526      -4524.526     549972.03  74.55118  73.99399  99.69873
     524    58.5149        48.2824         -4523.858      -4523.858     556019.64  74.82344  74.26422  100.06284
     526    58.5371        48.2890         -4510.346      -4510.346     559786.47  74.99203  74.43155  100.28829
     528    58.5603        48.4848         -4491.525      -4491.525     568808.99  75.39278  74.82931  100.82423
     530    58.5795        48.4906         -4495.340      -4495.340     571510.50  75.51195  74.94759  100.98360
     532    58.6011        48.6842         -4470.806      -4470.806     577590.99  75.77881  75.21245  101.34047
     534    58.6207        48.6891         -4473.622      -4473.622     580799.06  75.91885  75.35144  101.52774
     536    58.6418        48.6940         -4493.315      -4493.315     581056.34  75.93005  75.36257  101.54273
     538    58.6602        48.5130         -4488.057      -4488.057     581056.34  75.93005  75.36257  101.54273
     540    58.6793        48.5185         -4506.068      -4506.068     584886.85  76.09654  75.52781  101.76538
     542    58.7043        48.7085         -4487.747      -4487.747     591383.13  76.37724  75.80641  102.14076
     544    58.7235        48.8971         -4490.069      -4490.069     591492.14  76.38193  75.81106  102.14703
     546    58.7429        48.9011         -4464.556      -4464.556     597053.46  76.62057  76.04792  102.46617
     548    58.7660        48.9051         -4468.541      -4468.541     603075.05  76.87729  76.30273  102.80950
     550    58.7871        48.9091         -4456.321      -4456.321     606958.47  77.04195  76.46616  103.02970
     552    58.8093        48.7319         -4458.207      -4458.207     606958.47  77.04195  76.46616  103.02970
     554    58.8271        48.9170         -4477.054      -4477.054     608591.15  77.11097  76.53466  103.12200
     556    58.8494        48.9209         -4470.945      -4470.945     612137.20  77.26045  76.68302  103.32189
     558    58.8698        48.9247         -4486.365      -4486.365     613544.22  77.31960  76.74172  103.40100
     560    58.8902        48.7500         -4482.510      -4482.510     613544.22  77.31960  76.74172  103.40100
     562    58.9096        48.7544         -4461.803      -4461.803     616174.86  77.42995  76.85125  103.54857
     564    58.9293        48.5816         -4464.776      -4464.776     616174.86  77.42995  76.85125  103.54857
     566    58.9445        48.4099         -4476.823      -4476.823     616174.86  77.42995  76.85125  103.54857
     568    58.9632        48.4155         -4477.432      -4477.432     616421.70  77.44028  76.86151  103.56239
     570    58.9812        48.4211         -4469.312      -4469.312     620849.39  77.62526  77.04510  103.80976
     572    58.9996        48.6014         -4430.125      -4430.125     632183.43  78.09478  77.51111  104.43766
     574    59.0181        48.6063         -4440.853      -4440.853     639215.33  78.38327  77.79744  104.82346
     576    59.0376        48.6111         -4415.649      -4415.649     645457.17  78.63757  78.04985  105.16355
     578    59.0606        48.7889         -4405.470      -4405.470     654275.56  78.99408  78.40369  105.64031
     580    59.0820        48.6207         -4410.831      -4410.831     654275.56  78.99408  78.40369  105.64031
     582    59.1016        48.6254         -4375.102      -4375.102     661436.27  79.28122  78.68868  106.02431
     584    59.1214        48.6301         -4389.573      -4389.573     666345.62  79.47688  78.88288  106.28597
     586    59.1403        48.6348         -4369.443      -4369.443     667412.78  79.51929  78.92497  106.34268
     588    59.1595        48.6395         -4376.388      -4376.388     673368.69  79.75513  79.15905  106.65808
     590    59.1775        48.6441         -4393.348      -4393.348     678735.96  79.96647  79.36881  106.94071
     592    59.1994        48.8176         -4391.394      -4391.394     684450.21  80.19025  79.59092  107.23998
     594    59.2210        48.8215         -4369.048      -4369.048     686219.80  80.25930  79.65946  107.33232
     596    59.2388        48.6577         -4364.475      -4364.475     686219.80  80.25930  79.65946  107.33232
     598    59.2580        48.4950         -4362.044      -4362.044     686219.80  80.25930  79.65946  107.33232
     600    59.2759        48.6667         -4364.573      -4364.573     690851.06  80.43945  79.83826  107.57324
     602    59.2910        48.5050         -4378.835      -4378.835     690851.06  80.43945  79.83826  107.57324
     604    59.3124        48.5099         -4372.132      -4372.132     691586.09  80.46797  79.86657  107.61138
     606    59.3282        48.6799         -4362.145      -4362.145     699881.24  80.78841  80.18461  108.03991
     608    59.3496        48.5197         -4354.723      -4354.723     699881.24  80.78841  80.18461  108.03991
     610    59.3690        48.3607         -4366.671      -4366.671     699881.24  80.78841  80.18461  108.03991
     612    59.3851        48.3660         -4330.431      -4330.431     703000.77  80.90827  80.30357  108.20019
