No. moves  % accept.   % accept. vol.   <E_tot>      <E_sr>    <Vol>      <Lx>     <Ly>    <Lz>
     10272    85.6901    54.5950    -314.582       -314.582      575652753.37      756.89701      751.24008      1012.21304
     10274    85.6924    54.5941    -314.472       -314.472      575784725.88      756.95457      751.29721      1012.29002
     10276    85.6946    54.5932    -314.329       -314.329      575914465.48      757.01116      751.35338      1012.36569
     10278    85.6967    54.5923    -314.231       -314.231      576044200.76      757.06773      751.40953      1012.44135
     10280    85.6989    54.5914    -314.075       -314.075      576175033.60      757.12476      751.46613      1012.51762
     10282    85.7011    54.6003    -313.957       -313.957      576308019.98      757.18270      751.52364      1012.59511
     10284    85.7034    54.5994    -313.791       -313.791      576443839.83      757.24185      751.58234      1012.67420
     10286    85.7057    54.5985    -313.632       -313.632      576581073.78      757.30158      751.64163      1012.75408
     10288    85.7079    54.5976    -313.502       -313.502      576716535.33      757.36055      751.70015      1012.83294
     10290    85.7102    54.5967    -313.368       -313.368      576853033.88      757.41994      751.75910      1012.91237
     10292    85.7124    54.5958    -313.278       -313.278      576990328.49      757.47966      751.81838      1012.99223
     10294    85.7146    54.5949    -313.176       -313.176      577127287.66      757.53922      751.87750      1013.07189
     10296    85.7169    54.5940    -313.103       -313.103      577262932.28      757.59821      751.93604      1013.15077
     10298    85.7190    54.5931    -313.038       -313.038      577401304.47      757.65835      751.99574      1013.23120
     10300    85.7212    54.6019    -312.961       -312.961      577541990.10      757.71947      752.05640      1013.31293
     10302    85.7234    54.6010    -312.882       -312.882      577679725.96      757.77931      752.11579      1013.39296
     10304    85.7257    54.5905    -312.810       -312.810      577815649.51      757.83837      752.17440      1013.47194
     10306    85.7279    54.5799    -312.742       -312.742      577949796.27      757.89665      752.23225      1013.54988
     10308    85.7301    54.5790    -312.660       -312.660      578085775.09      757.95570      752.29086      1013.62885
     10310    85.7324    54.5781    -312.626       -312.626      578223465.27      758.01547      752.35019      1013.70878
     10312    85.7345    54.5772    -312.532       -312.532      578360426.64      758.07492      752.40919      1013.78828
     10314    85.7367    54.5763    -312.394       -312.394      578498761.36      758.13494      752.46876      1013.86855
     10316    85.7390    54.5754    -312.278       -312.278      578638130.93      758.19538      752.52875      1013.94938
     10318    85.7412    54.5648    -312.175       -312.175      578775747.43      758.25507      752.58799      1014.02920
     10320    85.7434    54.5736    -312.033       -312.033      578913560.47      758.31482      752.64730      1014.10911
     10322    85.7456    54.5824    -311.916       -311.916      579053934.86      758.37566      752.70768      1014.19046
     10324    85.7478    54.5816    -311.779       -311.779      579194482.87      758.43655      752.76812      1014.27190
     10326    85.7500    54.5807    -311.622       -311.622      579336071.05      758.49787      752.82898      1014.35391
     10328    85.7523    54.5798    -311.488       -311.488      579479947.34      758.56015      752.89080      1014.43720
     10330    85.7545    54.5692    -311.350       -311.350      579622079.66      758.62168      752.95186      1014.51948
     10332    85.7567    54.5683    -311.205       -311.205      579766372.52      758.68411      753.01383      1014.60297
     10334    85.7589    54.5771    -311.018       -311.018      579911125.36      758.74672      753.07597      1014.68670
     10336    85.7612    54.5762    -310.857       -310.857      580057416.32      758.80998      753.13875      1014.77129
     10338    85.7634    54.5754    -310.710       -310.710      580206141.32      758.87424      753.20254      1014.85723
     10340    85.7656    54.5841    -310.626       -310.626      580359104.35      758.94029      753.26809      1014.94556
     10342    85.7678    54.5736    -310.538       -310.538      580510278.34      759.00557      753.33288      1015.03286
     10344    85.7700    54.5824    -310.473       -310.473      580661646.11      759.07091      753.39774      1015.12025
     10346    85.7722    54.5718    -310.402       -310.402      580811263.96      759.13550      753.46185      1015.20662
     10348    85.7745    54.5613    -310.310       -310.310      580959162.07      759.19935      753.52521      1015.29201
     10350    85.7767    54.5700    -310.261       -310.261      581110127.97      759.26448      753.58986      1015.37911
     10352    85.7788    54.5788    -310.233       -310.233      581259420.88      759.32889      753.65378      1015.46524
     10354    85.7810    54.5876    -310.156       -310.156      581409990.79      759.39382      753.71823      1015.55208
     10356    85.7831    54.5867    -310.082       -310.082      581561421.45      759.45910      753.78303      1015.63938
     10358    85.7852    54.5955    -310.034       -310.034      581711714.69      759.52389      753.84733      1015.72602
     10360    85.7874    54.5946    -309.994       -309.994      581862137.77      759.58872      753.91167      1015.81271
     10362    85.7896    54.5937    -309.958       -309.958      582012842.86      759.65365      753.97612      1015.89955
     10364    85.7918    54.6025    -309.917       -309.917      582164195.12      759.71884      754.04082      1015.98673
     10366    85.7940    54.6016    -309.883       -309.883      582315513.78      759.78400      754.10550      1016.07387
     10368    85.7961    54.6103    -309.865       -309.865      582469628.92      759.85033      754.17132      1016.16257
     10370    85.7983    54.6191    -309.852       -309.852      582621924.11      759.91587      754.23638      1016.25022
     10372    85.8004    54.6182    -309.841       -309.841      582774959.24      759.98171      754.30173      1016.33827
     10374    85.8026    54.6270    -309.827       -309.827      582929078.51      760.04799      754.36751      1016.42691
     10376    85.8048    54.6357    -309.800       -309.800      583083388.80      760.11434      754.43336      1016.51564
     10378    85.8070    54.6444    -309.785       -309.785      583236577.82      760.18020      754.49873      1016.60371
     10380    85.8091    54.6435    -309.746       -309.746      583389340.59      760.24587      754.56391      1016.69153
     10382    85.8112    54.6427    -309.701       -309.701      583540650.31      760.31091      754.62846      1016.77851
     10384    85.8134    54.6418    -309.676       -309.676      583690236.58      760.37521      754.69228      1016.86450
     10386    85.8155    54.6312    -309.663       -309.663      583838272.73      760.43884      754.75544      1016.94960
     10388    85.8177    54.6303    -309.635       -309.635      583986219.61      760.50242      754.81855      1017.03463
     10390    85.8199    54.6391    -309.623       -309.623      584133864.30      760.56587      754.88152      1017.11947
     10392    85.8220    54.6286    -309.601       -309.601      584280002.41      760.62866      754.94384      1017.20345
     10394    85.8241    54.6277    -309.574       -309.574      584426580.80      760.69162      755.00634      1017.28765
     10396    85.8263    54.6364    -309.543       -309.543      584572943.43      760.75449      755.06873      1017.37172
     10398    85.8285    54.6451    -309.522       -309.522      584717689.99      760.81665      755.13043      1017.45486
     10400    85.8307    54.6442    -309.490       -309.490      584860094.25      760.87782      755.19114      1017.53666
     10402    85.8328    54.6433    -309.443       -309.443      585001317.14      760.93849      755.25135      1017.61778
     10404    85.8350    54.6424    -309.412       -309.412      585142916.29      760.99929      755.31170      1017.69910
     10406    85.8371    54.6512    -309.385       -309.385      585285831.06      761.06064      755.37259      1017.78114
