No. moves  % accept.   % acc. vol.    E_tot          E_sr          Vol       Lx        Ly        Lz
     546    58.8168        49.6337         -4504.571      -4504.571     598661.55  76.68930  76.11613  102.55808
     548    58.8374        49.6350         -4511.311      -4511.311     600178.96  76.75404  76.18039  102.64466
     550    58.8574        49.6364         -4499.485      -4499.485     605078.52  76.96233  76.38713  102.92322
     552    58.8763        49.8188         -4491.236      -4491.236     611210.29  77.22143  76.64429  103.26972
     554    58.8960        50.0000         -4481.138      -4481.138     620500.03  77.61069  77.03064  103.79029
     556    58.9190        50.1799         -4448.610      -4448.610     634036.01  78.17099  77.58675  104.53958
     558    58.9397        50.1792         -4457.494      -4457.494     635560.12  78.23358  77.64887  104.62328
     560    58.9600        50.1786         -4415.137      -4415.137     639218.04  78.38338  77.79755  104.82361
     562    58.9819        50.1779         -4434.216      -4434.216     643012.73  78.53818  77.95120  105.03063
     564    59.0014        50.1773         -4416.528      -4416.528     643176.39  78.54484  77.95781  105.03954
     566    59.0210        50.1767         -4442.890      -4442.890     643822.57  78.57114  77.98391  105.07470
     568    59.0402        50.1761         -4458.618      -4458.618     651083.30  78.86540  78.27597  105.46822
     570    59.0594        50.3509         -4424.189      -4424.189     656259.69  79.07385  78.48286  105.74699
     572    59.0790        50.3497         -4415.379      -4415.379     658432.78  79.16103  78.56940  105.86358
     574    59.1018        50.3484         -4392.519      -4392.519     662845.80  79.33749  78.74454  106.09957
     576    59.1238        50.5208         -4397.396      -4397.396     668039.38  79.54416  78.94966  106.37595
     578    59.1436        50.3460         -4400.728      -4400.728     668039.38  79.54416  78.94966  106.37595
     580    59.1636        50.1724         -4411.273      -4411.273     668039.38  79.54416  78.94966  106.37595
     582    59.1808        50.0000         -4416.659      -4416.659     668039.38  79.54416  78.94966  106.37595
     584    59.1996        49.8288         -4425.933      -4425.933     668039.38  79.54416  78.94966  106.37595
     586    59.2185        49.6587         -4433.985      -4433.985     668039.38  79.54416  78.94966  106.37595
     588    59.2367        49.6599         -4426.110      -4426.110     672472.92  79.71974  79.12393  106.61076
     590    59.2578        49.8305         -4406.521      -4406.521     677513.69  79.91844  79.32114  106.87648
     592    59.2754        50.0000         -4373.181      -4373.181     689226.23  80.37634  79.77562  107.48884
     594    59.2942        49.8316         -4353.698      -4353.698     689226.23  80.37634  79.77562  107.48884
     596    59.3124        50.0000         -4337.546      -4337.546     695879.70  80.63415  80.03150  107.83361
     598    59.3299        50.1672         -4331.870      -4331.870     706560.72  81.04461  80.43889  108.38253
     600    59.3489        50.3333         -4335.970      -4335.970     713215.42  81.29825  80.69064  108.72173
     602    59.3679        50.1661         -4341.651      -4341.651     713215.42  81.29825  80.69064  108.72173
     604    59.3903        50.0000         -4315.781      -4315.781     713215.42  81.29825  80.69064  108.72173
     606    59.4115        50.1650         -4287.355      -4287.355     726220.81  81.78943  81.17815  109.37859
     608    59.4334        50.3289         -4295.111      -4295.111     733457.05  82.06019  81.44689  109.74069
     610    59.4531        50.1639         -4296.810      -4296.810     733457.05  82.06019  81.44689  109.74069
     612    59.4741        50.1634         -4304.757      -4304.757     741076.39  82.34337  81.72795  110.11938
