No. moves  % accept.       <E_tot>         <E_sr>
     10638    49.7334        -7021.011       -7021.011
     10640    49.7336        -7020.945       -7020.945
     10642    49.7337        -7020.941       -7020.941
     10644    49.7335        -7020.878       -7020.878
     10646    49.7336        -7020.814       -7020.814
     10648    49.7337        -7020.736       -7020.736
     10650    49.7338        -7020.621       -7020.621
     10652    49.7336        -7020.578       -7020.578
     10654    49.7336        -7020.616       -7020.616
     10656    49.7336        -7020.613       -7020.613
     10658    49.7337        -7020.622       -7020.622
     10660    49.7339        -7020.647       -7020.647
     10662    49.7338        -7020.649       -7020.649
     10664    49.7339        -7020.727       -7020.727
     10666    49.7340        -7020.754       -7020.754
     10668    49.7344        -7020.709       -7020.709
     10670    49.7343        -7020.727       -7020.727
     10672    49.7343        -7020.751       -7020.751
     10674    49.7341        -7020.736       -7020.736
     10676    49.7340        -7020.691       -7020.691
     10678    49.7339        -7020.603       -7020.603
     10680    49.7341        -7020.552       -7020.552
     10682    49.7343        -7020.492       -7020.492
     10684    49.7345        -7020.423       -7020.423
     10686    49.7346        -7020.505       -7020.505
     10688    49.7346        -7020.566       -7020.566
     10690    49.7347        -7020.565       -7020.565
     10692    49.7347        -7020.596       -7020.596
     10694    49.7347        -7020.618       -7020.618
     10696    49.7348        -7020.640       -7020.640
     10698    49.7348        -7020.703       -7020.703
     10700    49.7348        -7020.721       -7020.721
     10702    49.7350        -7020.690       -7020.690
     10704    49.7351        -7020.656       -7020.656
     10706    49.7351        -7020.617       -7020.617
     10708    49.7352        -7020.610       -7020.610
     10710    49.7354        -7020.665       -7020.665
     10712    49.7354        -7020.725       -7020.725
     10714    49.7353        -7020.735       -7020.735
     10716    49.7352        -7020.741       -7020.741
     10718    49.7352        -7020.833       -7020.833
     10720    49.7352        -7020.967       -7020.967
     10722    49.7351        -7021.024       -7021.024
     10724    49.7353        -7021.019       -7021.019
     10726    49.7353        -7021.044       -7021.044
     10728    49.7353        -7020.990       -7020.990
     10730    49.7355        -7020.934       -7020.934
     10732    49.7355        -7020.875       -7020.875
     10734    49.7356        -7020.810       -7020.810
     10736    49.7356        -7020.852       -7020.852
     10738    49.7355        -7020.884       -7020.884
     10740    49.7355        -7020.910       -7020.910
     10742    49.7353        -7020.875       -7020.875
     10744    49.7352        -7020.878       -7020.878
     10746    49.7351        -7020.888       -7020.888
     10748    49.7350        -7020.909       -7020.909
     10750    49.7351        -7020.881       -7020.881
     10752    49.7350        -7020.826       -7020.826
     10754    49.7348        -7020.773       -7020.773
     10756    49.7348        -7020.800       -7020.800
     10758    49.7349        -7020.846       -7020.846
     10760    49.7348        -7020.833       -7020.833
     10762    49.7348        -7020.920       -7020.920
     10764    49.7348        -7021.021       -7021.021
     10766    49.7350        -7021.162       -7021.162
     10768    49.7349        -7021.267       -7021.267
     10770    49.7349        -7021.326       -7021.326
     10772    49.7348        -7021.429       -7021.429
     10774    49.7348        -7021.522       -7021.522
     10776    49.7348        -7021.638       -7021.638
     10778    49.7348        -7021.741       -7021.741
     10780    49.7349        -7021.876       -7021.876
     10782    49.7350        -7021.907       -7021.907
     10784    49.7350        -7021.979       -7021.979
     10786    49.7351        -7022.060       -7022.060
     10788    49.7351        -7022.141       -7022.141
     10790    49.7350        -7022.198       -7022.198
     10792    49.7351        -7022.289       -7022.289
     10794    49.7349        -7022.343       -7022.343
     10796    49.7350        -7022.433       -7022.433
     10798    49.7350        -7022.596       -7022.596
     10800    49.7351        -7022.644       -7022.644
     10802    49.7352        -7022.713       -7022.713
     10804    49.7352        -7022.740       -7022.740
     10806    49.7352        -7022.774       -7022.774
     10808    49.7352        -7022.763       -7022.763
     10810    49.7352        -7022.768       -7022.768
     10812    49.7352        -7022.805       -7022.805
     10814    49.7353        -7022.824       -7022.824
     10816    49.7352        -7022.815       -7022.815
     10818    49.7353        -7022.812       -7022.812
     10820    49.7355        -7022.818       -7022.818
     10822    49.7354        -7022.853       -7022.853
     10824    49.7353        -7022.934       -7022.934
     10826    49.7353        -7022.991       -7022.991
     10828    49.7354        -7023.063       -7023.063
     10830    49.7356        -7023.075       -7023.075
     10832    49.7357        -7023.123       -7023.123
     10834    49.7357        -7023.178       -7023.178
     10836    49.7358        -7023.226       -7023.226
     10838    49.7359        -7023.264       -7023.264
     10840    49.7359        -7023.270       -7023.270
     10842    49.7359        -7023.327       -7023.327
     10844    49.7358        -7023.349       -7023.349
     10846    49.7358        -7023.384       -7023.384
     10848    49.7358        -7023.441       -7023.441
     10850    49.7358        -7023.489       -7023.489
     10852    49.7357        -7023.472       -7023.472
     10854    49.7358        -7023.451       -7023.451
     10856    49.7358        -7023.448       -7023.448
     10858    49.7359        -7023.408       -7023.408
     10860    49.7359        -7023.403       -7023.403
     10862    49.7359        -7023.392       -7023.392
     10864    49.7358        -7023.334       -7023.334
     10866    49.7358        -7023.302       -7023.302
     10868    49.7359        -7023.283       -7023.283
     10870    49.7359        -7023.335       -7023.335
     10872    49.7360        -7023.347       -7023.347
     10874    49.7360        -7023.352       -7023.352
     10876    49.7361        -7023.373       -7023.373
     10878    49.7362        -7023.352       -7023.352
     10880    49.7362        -7023.438       -7023.438
     10882    49.7362        -7023.460       -7023.460
     10884    49.7361        -7023.449       -7023.449
     10886    49.7361        -7023.483       -7023.483
     10888    49.7362        -7023.581       -7023.581
     10890    49.7362        -7023.665       -7023.665
     10892    49.7363        -7023.691       -7023.691
     10894    49.7365        -7023.685       -7023.685
     10896    49.7365        -7023.673       -7023.673
     10898    49.7364        -7023.641       -7023.641
     10900    49.7364        -7023.634       -7023.634
     10902    49.7363        -7023.623       -7023.623
     10904    49.7364        -7023.652       -7023.652
     10906    49.7364        -7023.713       -7023.713
     10908    49.7364        -7023.718       -7023.718
     10910    49.7365        -7023.713       -7023.713
     10912    49.7364        -7023.690       -7023.690
     10914    49.7366        -7023.695       -7023.695
     10916    49.7367        -7023.699       -7023.699
     10918    49.7368        -7023.707       -7023.707
