No. moves  % accept.       <E_tot>         <E_sr>
     10716    49.7308        -7028.097       -7028.097
     10718    49.7307        -7028.137       -7028.137
     10720    49.7307        -7028.257       -7028.257
     10722    49.7307        -7028.393       -7028.393
     10724    49.7308        -7028.480       -7028.480
     10726    49.7309        -7028.458       -7028.458
     10728    49.7311        -7028.357       -7028.357
     10730    49.7310        -7028.316       -7028.316
     10732    49.7310        -7028.246       -7028.246
     10734    49.7309        -7028.301       -7028.301
     10736    49.7311        -7028.349       -7028.349
     10738    49.7311        -7028.380       -7028.380
     10740    49.7310        -7028.407       -7028.407
     10742    49.7310        -7028.424       -7028.424
     10744    49.7308        -7028.443       -7028.443
     10746    49.7305        -7028.595       -7028.595
     10748    49.7307        -7028.794       -7028.794
     10750    49.7306        -7028.945       -7028.945
     10752    49.7303        -7029.074       -7029.074
     10754    49.7302        -7029.169       -7029.169
     10756    49.7303        -7029.338       -7029.338
     10758    49.7302        -7029.557       -7029.557
     10760    49.7302        -7029.653       -7029.653
     10762    49.7301        -7029.771       -7029.771
     10764    49.7301        -7029.871       -7029.871
     10766    49.7300        -7030.012       -7030.012
     10768    49.7300        -7030.110       -7030.110
     10770    49.7300        -7030.141       -7030.141
     10772    49.7299        -7030.157       -7030.157
     10774    49.7298        -7030.171       -7030.171
     10776    49.7298        -7030.263       -7030.263
     10778    49.7300        -7030.316       -7030.316
     10780    49.7299        -7030.266       -7030.266
     10782    49.7297        -7030.235       -7030.235
     10784    49.7296        -7030.225       -7030.225
     10786    49.7296        -7030.237       -7030.237
     10788    49.7298        -7030.230       -7030.230
     10790    49.7298        -7030.256       -7030.256
     10792    49.7299        -7030.279       -7030.279
     10794    49.7300        -7030.381       -7030.381
     10796    49.7301        -7030.514       -7030.514
     10798    49.7301        -7030.650       -7030.650
     10800    49.7301        -7030.751       -7030.751
     10802    49.7301        -7030.842       -7030.842
     10804    49.7303        -7030.911       -7030.911
     10806    49.7302        -7030.976       -7030.976
     10808    49.7303        -7031.036       -7031.036
     10810    49.7305        -7031.102       -7031.102
     10812    49.7304        -7031.127       -7031.127
     10814    49.7307        -7031.209       -7031.209
     10816    49.7308        -7031.224       -7031.224
     10818    49.7309        -7031.202       -7031.202
     10820    49.7309        -7031.189       -7031.189
     10822    49.7308        -7031.106       -7031.106
     10824    49.7308        -7031.076       -7031.076
     10826    49.7308        -7031.049       -7031.049
     10828    49.7309        -7031.032       -7031.032
     10830    49.7311        -7031.045       -7031.045
     10832    49.7312        -7031.075       -7031.075
     10834    49.7311        -7031.082       -7031.082
     10836    49.7310        -7031.026       -7031.026
     10838    49.7311        -7030.988       -7030.988
     10840    49.7310        -7031.004       -7031.004
     10842    49.7309        -7031.015       -7031.015
     10844    49.7308        -7031.000       -7031.000
     10846    49.7310        -7030.936       -7030.936
     10848    49.7312        -7030.901       -7030.901
     10850    49.7313        -7030.876       -7030.876
     10852    49.7315        -7030.807       -7030.807
     10854    49.7316        -7030.766       -7030.766
     10856    49.7315        -7030.738       -7030.738
     10858    49.7314        -7030.665       -7030.665
     10860    49.7315        -7030.619       -7030.619
     10862    49.7314        -7030.579       -7030.579
     10864    49.7312        -7030.559       -7030.559
     10866    49.7313        -7030.561       -7030.561
     10868    49.7312        -7030.548       -7030.548
     10870    49.7312        -7030.576       -7030.576
     10872    49.7311        -7030.647       -7030.647
     10874    49.7311        -7030.715       -7030.715
     10876    49.7310        -7030.743       -7030.743
     10878    49.7310        -7030.730       -7030.730
     10880    49.7309        -7030.694       -7030.694
     10882    49.7308        -7030.690       -7030.690
     10884    49.7308        -7030.649       -7030.649
     10886    49.7307        -7030.636       -7030.636
     10888    49.7307        -7030.577       -7030.577
     10890    49.7307        -7030.499       -7030.499
     10892    49.7306        -7030.511       -7030.511
     10894    49.7306        -7030.547       -7030.547
     10896    49.7307        -7030.559       -7030.559
     10898    49.7307        -7030.557       -7030.557
     10900    49.7306        -7030.496       -7030.496
     10902    49.7307        -7030.429       -7030.429
     10904    49.7308        -7030.449       -7030.449
     10906    49.7307        -7030.442       -7030.442
     10908    49.7308        -7030.389       -7030.389
     10910    49.7308        -7030.233       -7030.233
     10912    49.7308        -7030.185       -7030.185
     10914    49.7309        -7030.136       -7030.136
     10916    49.7309        -7030.043       -7030.043
     10918    49.7309        -7029.919       -7029.919
     10920    49.7310        -7029.814       -7029.814
     10922    49.7311        -7029.736       -7029.736
     10924    49.7312        -7029.654       -7029.654
     10926    49.7313        -7029.583       -7029.583
     10928    49.7313        -7029.560       -7029.560
     10930    49.7312        -7029.520       -7029.520
     10932    49.7312        -7029.447       -7029.447
     10934    49.7315        -7029.359       -7029.359
     10936    49.7315        -7029.250       -7029.250
     10938    49.7316        -7029.144       -7029.144
     10940    49.7318        -7028.970       -7028.970
     10942    49.7317        -7028.878       -7028.878
     10944    49.7316        -7028.816       -7028.816
     10946    49.7317        -7028.811       -7028.811
     10948    49.7316        -7028.727       -7028.727
     10950    49.7317        -7028.653       -7028.653
     10952    49.7318        -7028.581       -7028.581
     10954    49.7317        -7028.529       -7028.529
     10956    49.7318        -7028.478       -7028.478
     10958    49.7317        -7028.443       -7028.443
     10960    49.7317        -7028.395       -7028.395
     10962    49.7318        -7028.392       -7028.392
     10964    49.7317        -7028.436       -7028.436
     10966    49.7318        -7028.435       -7028.435
     10968    49.7318        -7028.395       -7028.395
     10970    49.7317        -7028.346       -7028.346
     10972    49.7318        -7028.253       -7028.253
     10974    49.7319        -7028.169       -7028.169
     10976    49.7317        -7028.099       -7028.099
     10978    49.7318        -7028.047       -7028.047
     10980    49.7318        -7028.002       -7028.002
     10982    49.7318        -7028.024       -7028.024
     10984    49.7317        -7028.035       -7028.035
     10986    49.7316        -7028.041       -7028.041
     10988    49.7316        -7028.033       -7028.033
     10990    49.7316        -7027.992       -7027.992
     10992    49.7316        -7027.949       -7027.949
     10994    49.7314        -7027.950       -7027.950
     10996    49.7315        -7027.979       -7027.979
     10998    49.7316        -7027.960       -7027.960
     11000    49.7316        -7028.012       -7028.012
     11002    49.7317        -7027.999       -7027.999
     11004    49.7316        -7028.037       -7028.037
     11006    49.7315        -7028.053       -7028.053
     11008    49.7316        -7028.025       -7028.025
     11010    49.7316        -7027.998       -7027.998
     11012    49.7315        -7027.948       -7027.948
     11014    49.7317        -7027.963       -7027.963
     11016    49.7315        -7028.016       -7028.016
     11018    49.7315        -7028.042       -7028.042
     11020    49.7315        -7028.033       -7028.033
     11022    49.7313        -7028.063       -7028.063
     11024    49.7313        -7028.129       -7028.129
     11026    49.7313        -7028.123       -7028.123
     11028    49.7314        -7028.122       -7028.122
     11030    49.7312        -7028.130       -7028.130
     11032    49.7312        -7028.167       -7028.167
     11034    49.7312        -7028.155       -7028.155
     11036    49.7311        -7028.131       -7028.131
     11038    49.7311        -7028.062       -7028.062
     11040    49.7310        -7027.976       -7027.976
     11042    49.7310        -7027.949       -7027.949
     11044    49.7310        -7027.963       -7027.963
     11046    49.7309        -7027.949       -7027.949
     11048    49.7308        -7027.946       -7027.946
     11050    49.7308        -7027.918       -7027.918
     11052    49.7308        -7027.877       -7027.877
     11054    49.7307        -7027.820       -7027.820
     11056    49.7308        -7027.758       -7027.758
     11058    49.7308        -7027.720       -7027.720
     11060    49.7309        -7027.699       -7027.699
     11062    49.7310        -7027.655       -7027.655
     11064    49.7311        -7027.636       -7027.636
     11066    49.7311        -7027.591       -7027.591
     11068    49.7310        -7027.499       -7027.499
     11070    49.7310        -7027.444       -7027.444
     11072    49.7310        -7027.429       -7027.429
     11074    49.7313        -7027.380       -7027.380
     11076    49.7313        -7027.339       -7027.339
     11078    49.7314        -7027.292       -7027.292
     11080    49.7314        -7027.255       -7027.255
     11082    49.7313        -7027.208       -7027.208
     11084    49.7315        -7027.112       -7027.112
     11086    49.7314        -7027.061       -7027.061
     11088    49.7312        -7026.994       -7026.994
     11090    49.7315        -7026.941       -7026.941
     11092    49.7314        -7026.888       -7026.888
     11094    49.7314        -7026.836       -7026.836
     11096    49.7315        -7026.748       -7026.748
     11098    49.7316        -7026.649       -7026.649
     11100    49.7314        -7026.584       -7026.584
     11102    49.7316        -7026.553       -7026.553
     11104    49.7316        -7026.552       -7026.552
     11106    49.7315        -7026.473       -7026.473
     11108    49.7313        -7026.391       -7026.391
     11110    49.7313        -7026.376       -7026.376
     11112    49.7312        -7026.328       -7026.328
     11114    49.7313        -7026.259       -7026.259
     11116    49.7315        -7026.181       -7026.181
     11118    49.7316        -7026.112       -7026.112
     11120    49.7316        -7026.069       -7026.069
     11122    49.7317        -7026.015       -7026.015
     11124    49.7318        -7026.072       -7026.072
     11126    49.7319        -7026.136       -7026.136
     11128    49.7318        -7026.134       -7026.134
     11130    49.7317        -7026.126       -7026.126
     11132    49.7320        -7026.114       -7026.114
     11134    49.7318        -7026.162       -7026.162
     11136    49.7320        -7026.214       -7026.214
     11138    49.7319        -7026.269       -7026.269
     11140    49.7319        -7026.301       -7026.301
     11142    49.7318        -7026.339       -7026.339
     11144    49.7318        -7026.419       -7026.419
     11146    49.7321        -7026.474       -7026.474
     11148    49.7320        -7026.495       -7026.495
     11150    49.7319        -7026.540       -7026.540
     11152    49.7319        -7026.548       -7026.548
     11154    49.7318        -7026.558       -7026.558
     11156    49.7318        -7026.572       -7026.572
     11158    49.7319        -7026.614       -7026.614
     11160    49.7321        -7026.641       -7026.641
     11162    49.7321        -7026.661       -7026.661
     11164    49.7321        -7026.695       -7026.695
     11166    49.7322        -7026.754       -7026.754
     11168    49.7321        -7026.847       -7026.847
     11170    49.7321        -7026.904       -7026.904
     11172    49.7322        -7026.978       -7026.978
     11174    49.7322        -7027.007       -7027.007
     11176    49.7324        -7027.030       -7027.030
     11178    49.7324        -7027.072       -7027.072
     11180    49.7324        -7027.114       -7027.114
     11182    49.7324        -7027.126       -7027.126
     11184    49.7323        -7027.155       -7027.155
     11186    49.7322        -7027.152       -7027.152
     11188    49.7322        -7027.131       -7027.131
     11190    49.7323        -7027.134       -7027.134
     11192    49.7324        -7027.134       -7027.134
     11194    49.7324        -7027.129       -7027.129
     11196    49.7324        -7027.129       -7027.129
     11198    49.7325        -7027.142       -7027.142
     11200    49.7324        -7027.112       -7027.112
     11202    49.7326        -7027.134       -7027.134
     11204    49.7327        -7027.117       -7027.117
     11206    49.7328        -7027.108       -7027.108
     11208    49.7327        -7027.119       -7027.119
     11210    49.7328        -7027.094       -7027.094
     11212    49.7327        -7027.079       -7027.079
     11214    49.7327        -7027.046       -7027.046
     11216    49.7326        -7027.040       -7027.040
     11218    49.7325        -7026.998       -7026.998
     11220    49.7326        -7026.998       -7026.998
     11222    49.7325        -7027.000       -7027.000
     11224    49.7326        -7027.008       -7027.008
     11226    49.7327        -7027.021       -7027.021
     11228    49.7327        -7027.045       -7027.045
     11230    49.7325        -7027.036       -7027.036
     11232    49.7325        -7027.020       -7027.020
     11234    49.7325        -7027.064       -7027.064
     11236    49.7324        -7027.084       -7027.084
     11238    49.7326        -7027.094       -7027.094
     11240    49.7325        -7027.093       -7027.093
     11242    49.7324        -7027.084       -7027.084
     11244    49.7325        -7027.019       -7027.019
     11246    49.7325        -7026.920       -7026.920
     11248    49.7324        -7026.830       -7026.830
     11250    49.7325        -7026.780       -7026.780
     11252    49.7325        -7026.714       -7026.714
     11254    49.7326        -7026.700       -7026.700
     11256    49.7326        -7026.684       -7026.684
     11258    49.7327        -7026.651       -7026.651
     11260    49.7327        -7026.636       -7026.636
     11262    49.7326        -7026.625       -7026.625
     11264    49.7327        -7026.607       -7026.607
     11266    49.7325        -7026.617       -7026.617
     11268    49.7325        -7026.593       -7026.593
     11270    49.7325        -7026.591       -7026.591
     11272    49.7323        -7026.598       -7026.598
     11274    49.7325        -7026.596       -7026.596
     11276    49.7324        -7026.597       -7026.597
     11278    49.7322        -7026.595       -7026.595
     11280    49.7320        -7026.631       -7026.631
     11282    49.7319        -7026.633       -7026.633
     11284    49.7318        -7026.617       -7026.617
     11286    49.7317        -7026.612       -7026.612
     11288    49.7318        -7026.602       -7026.602
     11290    49.7318        -7026.587       -7026.587
     11292    49.7317        -7026.593       -7026.593
     11294    49.7319        -7026.567       -7026.567
     11296    49.7320        -7026.579       -7026.579
     11298    49.7319        -7026.574       -7026.574
     11300    49.7320        -7026.579       -7026.579
     11302    49.7319        -7026.594       -7026.594
     11304    49.7320        -7026.632       -7026.632
     11306    49.7318        -7026.679       -7026.679
     11308    49.7320        -7026.708       -7026.708
     11310    49.7321        -7026.797       -7026.797
     11312    49.7319        -7026.871       -7026.871
     11314    49.7319        -7026.938       -7026.938
     11316    49.7317        -7027.020       -7027.020
     11318    49.7318        -7027.080       -7027.080
     11320    49.7317        -7027.110       -7027.110
     11322    49.7317        -7027.160       -7027.160
